Store_Dept_Date,Weekly_Sales
1_1_2012-11-02,33056.3451
1_2_2012-11-02,47608.3694
1_3_2012-11-02,10736.5681
1_4_2012-11-02,37907.2111
1_5_2012-11-02,32680.1213
1_6_2012-11-02,4877.0928
1_7_2012-11-02,23942.9889
1_8_2012-11-02,38692.3568
1_9_2012-11-02,41445.3496
1_10_2012-11-02,30906.3971
1_11_2012-11-02,25498.1588
1_12_2012-11-02,9885.2033
1_13_2012-11-02,42921.8351
1_14_2012-11-02,15357.0319
1_16_2012-11-02,6238.8454
1_17_2012-11-02,8259.6752
1_18_2012-11-02,14864.6924
1_19_2012-11-02,1046.7405
1_20_2012-11-02,3448.7647
1_21_2012-11-02,8198.3761
1_22_2012-11-02,7994.3784
1_23_2012-11-02,23638.695
1_24_2012-11-02,6926.3858
1_25_2012-11-02,10768.0531
1_26_2012-11-02,7780.7779
1_27_2012-11-02,1851.8184
1_28_2012-11-02,775.9272
1_29_2012-11-02,4781.6763
1_30_2012-11-02,2495.6947
1_31_2012-11-02,1965.3439
1_32_2012-11-02,6547.5007
1_33_2012-11-02,6683.5809
1_34_2012-11-02,11628.9046
1_35_2012-11-02,2534.0448
1_36_2012-11-02,2012.8571
1_37_2012-11-02,2860.7789
1_38_2012-11-02,84850.7321
1_40_2012-11-02,62466.0404
1_41_2012-11-02,1280.8
1_42_2012-11-02,8214.4077
1_44_2012-11-02,5839.1343
1_46_2012-11-02,18680.6299
1_48_2012-11-02,2145.456
1_49_2012-11-02,10299.1452
1_52_2012-11-02,2182.8273
1_55_2012-11-02,14432.3666
1_56_2012-11-02,1012.9772
1_58_2012-11-02,3216.65
1_59_2012-11-02,642.3422
1_60_2012-11-02,1278.91
1_67_2012-11-02,6441.565
1_71_2012-11-02,2566.1382
1_72_2012-11-02,54911.2036
1_74_2012-11-02,9944.6857
1_79_2012-11-02,43693.3551
1_80_2012-11-02,18985.9266
1_81_2012-11-02,31048.9058
1_82_2012-11-02,20117.0234
1_83_2012-11-02,5526.2378
1_85_2012-11-02,3138.6565
1_87_2012-11-02,59697.316
1_90_2012-11-02,89665.6366
1_91_2012-11-02,63438.4453
1_92_2012-11-02,100000
1_93_2012-11-02,76561.7865
1_94_2012-11-02,61733.5899
1_95_2012-11-02,100000
1_96_2012-11-02,33014.4199
1_97_2012-11-02,34460.3134
1_98_2012-11-02,13042.2967
1_99_2012-11-02,122.4805
1_1_2012-11-09,20578.4084
1_2_2012-11-09,47327.5952
1_3_2012-11-09,10933.3633
1_4_2012-11-09,36785.7775
1_5_2012-11-09,36928.3187
1_6_2012-11-09,3735.0922
1_7_2012-11-09,25814.5955
1_8_2012-11-09,37551.5864
1_9_2012-11-09,34879.6878
1_10_2012-11-09,31832.7222
1_11_2012-11-09,23407.0054
1_12_2012-11-09,10223.7018
1_13_2012-11-09,40770.1943
1_14_2012-11-09,18547.3487
1_16_2012-11-09,6889.5104
1_17_2012-11-09,8797.3631
1_18_2012-11-09,11503.7125
1_19_2012-11-09,991.7521
1_20_2012-11-09,3605.7575
1_21_2012-11-09,8245.1241
1_22_2012-11-09,7808.3094
1_23_2012-11-09,22578.3475
1_24_2012-11-09,6199.8673
1_25_2012-11-09,10287.3528
1_26_2012-11-09,7612.0878
1_27_2012-11-09,1755.7745
1_28_2012-11-09,736.6514
1_29_2012-11-09,4688.5288
1_30_2012-11-09,2522.0366
1_31_2012-11-09,1597.7945
1_32_2012-11-09,6390.3621
1_33_2012-11-09,6388.7249
1_34_2012-11-09,11392.4007
1_35_2012-11-09,2472.8451
1_36_2012-11-09,1450.8086
1_37_2012-11-09,2962.0927
1_38_2012-11-09,81505.9112
1_40_2012-11-09,60842.8189
1_41_2012-11-09,1186.8867
1_42_2012-11-09,8311.5463
1_44_2012-11-09,5941.2287
1_46_2012-11-09,18316.8746
1_48_2012-11-09,2046.066
1_49_2012-11-09,9808.3215
1_52_2012-11-09,2077.4358
1_55_2012-11-09,22421.2662
1_56_2012-11-09,1337.631
1_58_2012-11-09,3764.1391
1_59_2012-11-09,745.7079
1_60_2012-11-09,1178.542
1_67_2012-11-09,6061.1751
1_71_2012-11-09,2543.4481
1_72_2012-11-09,48463.546
1_74_2012-11-09,9875.3394
1_79_2012-11-09,40759.0212
1_80_2012-11-09,19373.972
1_81_2012-11-09,31247.8779
1_82_2012-11-09,20077.8259
1_83_2012-11-09,6320.9837
1_85_2012-11-09,2948.8843
1_87_2012-11-09,55653.0467
1_90_2012-11-09,92296.5312
1_91_2012-11-09,72379.3708
1_92_2012-11-09,100000
1_93_2012-11-09,83230.7412
1_94_2012-11-09,62161.1481
1_95_2012-11-09,100000
1_96_2012-11-09,33405.9584
1_97_2012-11-09,36923.3157
1_98_2012-11-09,13352.662
1_99_2012-11-09,78.1294
1_1_2012-11-16,19595.3846
1_2_2012-11-16,44561.839
1_3_2012-11-16,11304.1557
1_4_2012-11-16,38760.841
1_5_2012-11-16,29936.2025
